0,1
2020-07-16,"[['[종목톡톡]에이프로, 상장 첫날 상한가…5만6100원', ""[TF특징주] 에이프로, 코스닥 입성 첫날 '따상'"", ""에이프로↑…공모주 '연타석 홈런'"", ""[특징주]에이프로, 상장 첫 날 '급등'"", ""에이프로도 '따상'…SK바이오팜이 불붙인 새내기주 열풍"", '[급등락주 짚어보기] 이재명 도지사직 유지에 형지엘리트 ‘上’…에이프로 상...', '[상한가 종목] 상장한 에이프로 상한가 마감…뒤이어 동아화성-형지엘리트-녹...', '코스피 코스닥 장중 하락 지속, 잇츠한불 에이프로 동아화성 급등', ""'따상' 에이프로 '급락' 이지스밸류리츠…상장 첫날 상반된 성적표"", ""에이프로 '따상'에 삼성-현대차 전기차 동맹까지…2차전지株 활짝""]]"
2020-07-17,"[[""[특징주] 상장 첫날 '따상' 에이프로 이튿날 하락"", ""에이프로, 상장 첫날 '따상'… SK바이오팜 흥행 바통 잇나"", ""[종목톡톡]'따상' 에이프로, 상장 하루만에 두자릿수 하락"", '[fnRASSI]장마감, 코스닥 하락 종목(에이프로 -14.4% ↓)', '에이프로 주가 장중 대폭 떨어져, 차익실현 매물 대거 나와', ""[종목이슈] 에이프로도 '2배+상한가', 새내기株 롤러코스터 주의"", ""[특징주]에이프로, 코스닥 상장 이튿날 '약세'"", '에이프로, 상장 이틀만에 11% 폭락에 투자자들 당황…5만원선 붕괴', '[마켓인사이드] 테슬라발 훈풍에 웃음꽃 핀 2차전지주 에이프로, SK바이오팜 ...', ""[특징주]상장 이틀···전일 '따상' 에이프로는 하락, 이지스밸류리츠는 강세""]]"
