Model Name,real_rise,rise_pred_count,real_fall,fall_pred_count,Rise_pred Accuracy,Fall_pred Accuracy
LinearRegression,3,0,4,8,N/A (pred_count가 0입니다),50.0
LGBMRegressor,3,5,4,3,40.0,66.66666666666666
RandomForestRegressor,3,3,4,5,66.66666666666666,80.0
KNeighborsRegressor,3,4,4,4,25.0,50.0
DecisionTreeRegressor,3,3,4,5,33.33333333333333,60.0
GradientBoostingRegressor,3,3,4,5,66.66666666666666,80.0
XGBRegressor,3,5,4,3,40.0,66.66666666666666
