Date,news
2020-01-02,0.67
2020-01-03,0.6
2020-01-06,0.63
2020-01-07,0.56
2020-01-08,0.48
2020-01-09,0.76
2020-01-10,0.53
2020-01-13,0.63
2020-01-14,0.78
2020-01-15,0.56
2020-01-16,0.47
2020-01-17,0.33
2020-01-20,0.29
2020-01-21,0.59
2020-01-22,0.64
2020-01-23,0.58
2020-01-28,0.38
2020-01-29,0.58
2020-01-30,0.52
2020-01-31,0.21
2020-02-03,0.76
2020-02-04,0.85
2020-02-05,0.85
2020-02-06,0.62
2020-02-07,0.43
2020-02-10,0.55
2020-02-11,0.24
2020-02-12,0.72
2020-02-13,0.27
2020-02-14,0.27
2020-02-17,0.43
2020-02-18,0.27
2020-02-19,0.44
2020-02-20,0.48
2020-02-21,0.29
2020-02-24,0.46
2020-02-25,0.71
2020-02-26,0.79
2020-02-27,0.59
2020-02-28,0.17
2020-03-02,0.65
2020-03-03,0.7
2020-03-04,0.58
2020-03-05,0.67
2020-03-06,0.42
2020-03-09,0.52
2020-03-10,0.62
2020-03-11,0.37
2020-03-12,0.56
2020-03-13,0.09
2020-03-16,0.36
2020-03-17,0.51
2020-03-18,0.46
2020-03-19,0.39
2020-03-20,0.39
2020-03-23,0.46
2020-03-24,0.34
2020-03-25,0.34
2020-03-26,0.25
2020-03-27,0.43
2020-03-30,0.45
2020-03-31,0.45
2020-04-01,0.63
2020-04-02,0.58
2020-04-03,0.24
2020-04-06,0.52
2020-04-07,0.82
2020-04-08,0.51
2020-04-09,0.46
2020-04-10,0.47
2020-04-13,0.44
2020-04-14,0.67
2020-04-16,0.85
2020-04-17,0.58
2020-04-20,0.48
2020-04-21,0.51
2020-04-22,0.38
2020-04-23,0.54
2020-04-24,0.78
2020-04-27,0.53
2020-04-28,0.55
2020-04-29,0.61
2020-05-04,0.46
2020-05-06,0.32
2020-05-07,0.46
2020-05-08,0.31
2020-05-11,0.58
2020-05-12,0.45
2020-05-13,0.43
2020-05-14,0.56
2020-05-15,0.27
2020-05-18,0.24
2020-05-19,0.42
2020-05-20,0.75
2020-05-21,0.87
2020-05-22,0.56
2020-05-25,0.05
2020-05-26,0.29
2020-05-27,0.3
2020-05-28,0.57
2020-05-29,0.39
2020-06-01,0.71
2020-06-02,0.22
2020-06-03,0.64
2020-06-04,0.1
2020-06-05,0.27
2020-06-08,0.31
2020-06-09,0.59
2020-06-10,0.54
2020-06-11,0.13
2020-06-12,0.45
2020-06-15,0.53
2020-06-16,0.57
2020-06-17,0.33
2020-06-18,0.29
2020-06-19,0.74
2020-06-22,0.51
2020-06-23,0.53
2020-06-24,0.31
2020-06-25,0.76
2020-06-26,0.23
2020-06-29,0.51
2020-06-30,0.41
2020-07-01,0.73
2020-07-02,0.59
2020-07-03,0.61
2020-07-06,0.45
2020-07-07,0.74
2020-07-08,0.55
2020-07-09,0.59
2020-07-10,0.74
2020-07-13,0.77
2020-07-14,0.67
2020-07-15,0.62
2020-07-16,0.47
2020-07-17,0.19
2020-07-20,0.27
2020-07-21,0.53
2020-07-22,0.58
2020-07-23,0.57
2020-07-24,0.15
2020-07-27,0.46
2020-07-28,0.59
2020-07-29,0.54
2020-07-30,0.83
2020-07-31,0.43
2020-08-03,0.6
2020-08-04,0.54
2020-08-05,0.78
2020-08-06,0.74
2020-08-07,0.53
2020-08-10,0.58
2020-08-11,0.56
2020-08-12,0.49
2020-08-13,0.43
2020-08-14,0.41
2020-08-18,0.45
2020-08-19,0.63
2020-08-20,0.34
2020-08-21,0.55
2020-08-24,0.68
2020-08-25,0.39
2020-08-26,0.84
2020-08-27,0.68
2020-08-28,0.85
2020-08-31,0.53
2020-09-01,0.43
2020-09-02,0.3
2020-09-03,0.63
2020-09-04,0.75
2020-09-07,0.64
2020-09-08,0.67
2020-09-09,0.45
2020-09-10,0.61
