Model Name,real_rise,rise_pred_count,real_fall,fall_pred_count,Rise_pred Accuracy,Fall_pred Accuracy
LinearRegression,13,1,15,29,100.0,51.724137931034484
LGBMRegressor,13,15,15,15,53.333333333333336,60.0
RandomForestRegressor,13,13,15,17,61.53846153846154,64.70588235294117
KNeighborsRegressor,13,14,15,16,50.0,62.5
DecisionTreeRegressor,13,16,15,14,56.25,64.28571428571429
GradientBoostingRegressor,13,11,15,19,72.72727272727273,68.42105263157895
XGBRegressor,13,17,15,13,52.94117647058824,61.53846153846154
