,Open,High,Low,Close,Volume,Change
LinearRegression,68773.48996330646,69431.70760670467,68119.45157931813,68690.8283854416,16583832.252147887,-0.0010765919245190351
LGBMRegressor,69205.92221631297,69943.71798066651,68814.38117650103,69560.19354224089,17401418.975310672,-0.0017717559076338388
RandomForestRegressor,69240.0,69888.0,68853.0,69586.0,17438786.37,0.0053129071281462345
KNeighborsRegressor,66980.0,67580.0,66380.0,66780.0,17524590.8,-0.00459762228009238
DecisionTreeRegressor,68900.0,70400.0,68000.0,71200.0,15453191.0,-0.0060514372163388
GradientBoostingRegressor,69166.06472737192,69794.08041881821,68735.91377523399,69533.3087639963,17111514.126385313,0.0046642349216224135
XGBRegressor,68698.421875,69520.1953125,67463.03125,69698.40625,17551866.0,0.00859026238322258
