Date,Open,High,Low,Close,Volume,Change,news,Open_USD/KRW,High_USD/KRW,Low_USD/KRW,Close_USD/KRW,Adj Close_USD/KRW,Volume_USD/KRW,Open_ks11,High_ks11,Low_ks11,Close_ks11,Adj Close_ks11,Volume_ks11
2020-01-02,30909.0,31010.0,30508.0,30609.0,241047.0,-0.006523855890944508,0.37,1153.959961,1160.189941,1145.199951,1153.969971,1153.969971,0.0,2201.209961,2202.320068,2171.840088,2175.169922,2175.169922,494700.0
2020-01-03,30810.0,31111.0,30308.0,30609.0,314848.0,0.0,0.56,1157.550049,1168.069946,1155.310059,1157.150024,1157.150024,0.0,2192.580078,2203.379883,2165.389893,2176.459961,2176.459961,631600.0
2020-01-06,30206.0,31109.0,30106.0,31010.0,393715.0,0.01310072200986645,0.57,1167.400024,1172.48999,1165.640015,1165.849976,1165.849976,0.0,2154.969971,2164.419922,2149.949951,2155.070068,2155.070068,592700.0
2020-01-07,31110.0,32113.0,31009.0,32114.0,840186.0,0.035601418897129866,0.42,1166.52002,1168.01001,1161.949951,1167.420044,1167.420044,0.0,2166.600098,2181.620117,2164.27002,2175.540039,2175.540039,568200.0
2020-01-08,31813.0,32516.0,31412.0,32014.0,851619.0,-0.0031139067073550075,0.39,1166.530029,1178.839966,1162.400024,1166.459961,1166.459961,0.0,2156.27002,2162.320068,2137.719971,2151.310059,2151.310059,913800.0
2020-01-09,32816.0,33216.0,32615.0,32917.0,878319.0,0.02820640969575816,0.45,1161.339966,1162.589966,1156.51001,1161.26001,1161.26001,0.0,2182.199951,2186.449951,2172.159912,2186.449951,2186.449951,592600.0
2020-01-10,33118.0,33419.0,32716.0,33118.0,401906.0,0.006106267278306099,0.24,1158.579956,1163.640015,1156.199951,1157.810059,1157.810059,0.0,2189.47998,2206.919922,2188.100098,2206.389893,2206.389893,594500.0
2020-01-13,33217.0,33618.0,33117.0,33519.0,475667.0,0.012108219095356088,0.39,1156.930054,1157.790039,1152.380005,1156.930054,1156.930054,0.0,2204.48999,2230.429932,2204.48999,2229.26001,2229.26001,488300.0
2020-01-14,33618.0,33818.0,33217.0,33519.0,423286.0,0.0,0.58,1153.25,1159.140015,1149.869995,1153.939941,1153.939941,0.0,2243.060059,2250.790039,2232.939941,2238.879883,2238.879883,835900.0
2020-01-15,33518.0,34220.0,33418.0,34121.0,462119.0,0.01795996300605629,0.27,1156.130005,1162.189941,1154.27002,1157.050049,1157.050049,0.0,2229.800049,2238.209961,2223.389893,2230.97998,2230.97998,746200.0
2020-01-16,34120.0,34521.0,34120.0,34422.0,260049.0,0.008821546847982198,0.78,1159.73999,1161.040039,1155.849976,1156.780029,1156.780029,0.0,2231.929932,2249.090088,2225.409912,2248.050049,2248.050049,808300.0
2020-01-17,34420.0,34621.0,33719.0,33820.0,354724.0,-0.017488815292545423,0.16,1159.670044,1161.109985,1154.550049,1158.77002,1158.77002,0.0,2261.570068,2268.709961,2245.580078,2250.570068,2250.570068,580800.0
2020-01-20,33919.0,34119.0,33518.0,33820.0,380510.0,0.0,0.11,1159.800049,1160.439941,1155.290039,1160.359985,1160.359985,0.0,2261.399902,2277.22998,2258.090088,2262.639893,2262.639893,545500.0
2020-01-21,33820.0,33921.0,32817.0,33118.0,389155.0,-0.020756948551153176,0.13,1158.569946,1169.390015,1157.75,1157.569946,1157.569946,0.0,2259.810059,2266.310059,2238.25,2239.689941,2239.689941,770300.0
2020-01-22,33317.0,33919.0,33016.0,33318.0,504350.0,0.006039012017633905,0.44,1168.719971,1168.719971,1161.390015,1168.73999,1168.73999,0.0,2238.530029,2269.27002,2235.129883,2267.25,2267.25,608500.0
2020-01-23,33718.0,33718.0,33016.0,33218.0,323420.0,-0.0030013806350921435,0.82,1165.189941,1170.099976,1163.699951,1163.72998,1163.72998,0.0,2254.540039,2260.629883,2241.939941,2246.129883,2246.129883,509600.0
2020-01-28,32114.0,32817.0,32014.0,32616.0,513228.0,-0.018122704557769875,0.63,1176.449951,1181.170044,1173.859985,1176.72998,1176.72998,0.0,2192.219971,2199.929932,2166.22998,2176.719971,2176.719971,808500.0
2020-01-29,33218.0,33318.0,32616.0,32817.0,255167.0,0.006162619573215622,0.44,1172.75,1179.849976,1172.550049,1174.280029,1174.280029,0.0,2188.179932,2195.449951,2172.330078,2185.280029,2185.280029,692300.0
2020-01-30,32716.0,33218.0,32215.0,32516.0,418908.0,-0.009172075448700356,0.56,1178.77002,1192.390015,1177.819946,1178.079956,1178.079956,0.0,2181.540039,2187.449951,2139.719971,2148.0,2148.0,602700.0
2020-01-31,32614.0,32915.0,31812.0,31913.0,346067.0,-0.0185447164472875,0.24,1186.48999,1197.839966,1183.26001,1187.119995,1187.119995,0.0,2160.600098,2167.22998,2119.01001,2119.01001,2119.01001,710500.0
2020-02-03,31311.0,32215.0,31311.0,32014.0,423907.0,0.0031648544480304963,0.36,1194.400024,1198.75,1190.280029,1194.869995,1194.869995,0.0,2086.610107,2126.72998,2082.73999,2118.879883,2118.879883,836700.0
2020-02-04,32414.0,33216.0,32214.0,33017.0,394773.0,0.03133004310614096,0.67,1190.540039,1193.73999,1183.670044,1189.359985,1189.359985,0.0,2121.219971,2162.320068,2120.530029,2157.899902,2157.899902,624600.0
2020-02-05,33417.0,33517.0,32414.0,32716.0,456954.0,-0.009116515734318709,0.5,1182.48999,1192.23999,1179.540039,1182.47998,1182.47998,0.0,2177.26001,2181.52002,2154.879883,2165.629883,2165.629883,574400.0
2020-02-06,33217.0,33718.0,32816.0,33318.0,552044.0,0.018400782491747147,0.45,1182.25,1184.829956,1177.109985,1183.459961,1183.459961,0.0,2184.77002,2229.98999,2182.25,2227.939941,2227.939941,695000.0
2020-02-07,33519.0,34222.0,33318.0,33620.0,522100.0,0.009064169517978282,0.33,1185.859985,1195.569946,1184.060059,1184.25,1184.25,0.0,2221.48999,2223.919922,2198.139893,2211.949951,2211.949951,800200.0
2020-02-10,33620.0,34021.0,33318.0,33921.0,375209.0,0.008953004164188094,0.56,1191.670044,1192.209961,1184.790039,1191.089966,1191.089966,0.0,2185.629883,2203.389893,2180.51001,2201.070068,2201.070068,609600.0
2020-02-11,33920.0,34120.0,33719.0,34121.0,307120.0,0.005896052592789136,0.77,1186.050049,1186.880005,1179.819946,1185.630005,1185.630005,0.0,2213.5,2233.320068,2211.25,2223.120117,2223.120117,526000.0
2020-02-12,34021.0,34523.0,33720.0,34523.0,407917.0,0.011781600773717038,0.45,1180.550049,1183.589966,1175.359985,1180.719971,1180.719971,0.0,2225.949951,2242.23999,2214.77002,2238.379883,2238.379883,632500.0
2020-02-13,35025.0,36430.0,34824.0,35928.0,1877980.0,0.04069750601048572,0.55,1178.380005,1183.930054,1177.76001,1177.959961,1177.959961,0.0,2245.719971,2255.48999,2230.300049,2232.959961,2232.959961,638700.0
2020-02-14,36329.0,37032.0,35928.0,36129.0,948085.0,0.00559452237808955,0.68,1183.380005,1184.939941,1179.650024,1183.469971,1183.469971,0.0,2232.709961,2251.5,2221.899902,2243.590088,2243.590088,597200.0
