Model Name,real_rise,rise_pred_count,real_fall,fall_pred_count,Rise_pred Accuracy,Fall_pred Accuracy
LinearRegression,12,10,15,20,60.0,65.0
LGBMRegressor,12,17,15,13,35.294117647058826,53.84615384615385
RandomForestRegressor,12,14,15,16,42.857142857142854,50.0
KNeighborsRegressor,12,13,15,17,46.15384615384615,52.94117647058824
DecisionTreeRegressor,12,12,15,15,25.0,46.666666666666664
GradientBoostingRegressor,12,14,15,16,42.857142857142854,56.25
XGBRegressor,12,14,15,16,42.857142857142854,62.5
