,Open,High,Low,Close,Volume,Change
LinearRegression,50555.83498712613,51347.68617859205,50030.39792484633,51181.84436396089,1756926.9702444607,-0.001323654789875832
LGBMRegressor,51047.842393171195,51421.8482448152,49551.108239703215,51487.20298807901,2698867.8310413864,0.001593346010701135
RandomForestRegressor,50927.76,51761.08,50770.56,51013.42,2696540.06,-0.009652640851810172
KNeighborsRegressor,58020.0,59220.0,56920.0,58040.0,2121295.0,0.0026202927729948406
DecisionTreeRegressor,52000.0,51100.0,49750.0,50600.0,4457042.0,0.0156985871271586
GradientBoostingRegressor,51743.956317171695,52454.92578027734,50768.32480189838,51697.42734666083,3199282.793934798,-0.012550099769069073
XGBRegressor,51254.89453125,51288.6484375,50382.89453125,51045.69921875,3444005.0,-0.00952646229416132
