Date,news
2020-01-02,0.37
2020-01-03,0.56
2020-01-06,0.57
2020-01-07,0.42
2020-01-08,0.39
2020-01-09,0.45
2020-01-10,0.24
2020-01-13,0.39
2020-01-14,0.58
2020-01-15,0.27
2020-01-16,0.78
2020-01-17,0.16
2020-01-20,0.11
2020-01-21,0.13
2020-01-22,0.44
2020-01-23,0.82
2020-01-28,0.63
2020-01-29,0.44
2020-01-30,0.56
2020-01-31,0.24
2020-02-03,0.36
2020-02-04,0.67
2020-02-05,0.5
2020-02-06,0.45
2020-02-07,0.33
2020-02-10,0.56
2020-02-11,0.77
2020-02-12,0.45
2020-02-13,0.55
2020-02-14,0.68
2020-02-17,0.33
2020-02-18,0.45
2020-02-19,0.44
2020-02-20,0.17
2020-02-21,0.44
2020-02-24,0.3
2020-02-25,0.63
2020-02-26,0.43
2020-02-27,0.67
2020-02-28,0.33
2020-03-02,0.14
2020-03-03,0.29
2020-03-04,0.53
2020-03-05,0.31
2020-03-06,0.55
2020-03-09,0.64
2020-03-10,0.44
2020-03-11,0.72
2020-03-12,0.22
2020-03-13,0.54
2020-03-16,0.73
2020-03-17,0.7
2020-03-18,0.47
2020-03-19,0.2
2020-03-20,0.89
2020-03-23,0.45
2020-03-24,0.67
2020-03-25,0.6
2020-03-26,0.25
2020-03-27,0.57
2020-03-30,0.5
2020-03-31,0.23
2020-04-01,0.46
2020-04-02,0.25
2020-04-03,0.67
2020-04-06,0.44
2020-04-07,0.64
2020-04-08,0.23
2020-04-09,0.56
2020-04-10,0.19
2020-04-13,0.4
2020-04-14,0.13
2020-04-16,0.44
2020-04-17,0.36
2020-04-20,0.23
2020-04-21,0.33
2020-04-22,0.57
2020-04-23,0.38
2020-04-24,0.55
2020-04-27,0.17
2020-04-28,0.67
2020-04-29,0.61
2020-05-04,0.16
2020-05-06,0.21
2020-05-07,0.91
2020-05-08,0.38
2020-05-11,0.45
2020-05-12,0.33
2020-05-13,0.63
2020-05-14,0.59
2020-05-15,0.57
2020-05-18,0.45
2020-05-19,0.24
2020-05-20,1.0
2020-05-21,0.65
2020-05-22,0.75
2020-05-25,0.92
2020-05-26,0.39
2020-05-27,0.44
2020-05-28,0.57
2020-05-29,0.29
2020-06-01,0.47
2020-06-02,0.33
2020-06-03,0.55
2020-06-04,0.55
2020-06-05,0.67
2020-06-08,0.78
2020-06-09,0.0
2020-06-10,0.48
2020-06-11,0.67
2020-06-12,0.24
2020-06-15,0.24
2020-06-16,0.57
2020-06-17,0.38
2020-06-18,0.5
2020-06-19,0.34
2020-06-22,0.73
2020-06-23,0.45
2020-06-24,0.37
2020-06-25,0.57
2020-06-26,0.43
2020-06-29,1.0
2020-06-30,0.5
2020-07-01,0.44
2020-07-02,0.38
2020-07-03,0.43
2020-07-06,0.78
2020-07-07,0.0
2020-07-08,0.44
2020-07-09,0.78
2020-07-10,0.81
2020-07-13,0.44
2020-07-14,0.6
2020-07-15,0.5
2020-07-16,0.33
2020-07-17,0.18
2020-07-20,0.63
2020-07-21,0.45
2020-07-22,0.67
2020-07-23,0.35
2020-07-24,0.44
2020-07-27,0.63
2020-07-28,0.83
2020-07-29,0.54
2020-07-30,0.07
2020-07-31,0.43
2020-08-03,0.83
2020-08-04,0.43
2020-08-05,0.57
2020-08-06,0.86
2020-08-07,0.12
2020-08-10,0.35
2020-08-11,0.94
2020-08-12,0.91
2020-08-13,0.45
2020-08-14,0.25
2020-08-18,0.57
2020-08-19,0.11
2020-08-20,0.67
2020-08-21,0.09
2020-08-24,0.78
2020-08-25,0.56
2020-08-26,0.44
2020-08-27,0.57
2020-08-28,0.45
2020-08-31,0.54
2020-09-01,0.63
2020-09-02,0.66
2020-09-03,0.37
2020-09-04,0.22
2020-09-07,0.63
2020-09-08,0.67
2020-09-09,0.22
2020-09-10,0.95
2020-09-11,0.44
2020-09-14,0.0
2020-09-15,0.43
2020-09-16,0.56
2020-09-17,0.27
2020-09-18,0.38
2020-09-21,0.33
2020-09-22,0.25
2020-09-23,0.35
2020-09-24,0.42
2020-09-25,0.36
2020-09-28,0.67
2020-09-29,0.62
2020-10-05,0.29
2020-10-06,0.37
2020-10-07,0.33
2020-10-08,0.39
2020-10-12,0.22
2020-10-13,0.47
2020-10-14,0.2
2020-10-15,0.42
2020-10-16,0.5
2020-10-19,0.69
2020-10-20,0.4
2020-10-21,0.55
2020-10-22,0.54
2020-10-23,0.54
2020-10-26,0.26
2020-10-27,0.55
2020-10-28,0.13
2020-10-29,0.67
2020-10-30,0.12
2020-11-02,0.34
2020-11-03,0.54
2020-11-04,0.56
2020-11-05,0.85
2020-11-06,0.14
2020-11-09,0.56
2020-11-10,0.65
2020-11-11,0.36
2020-11-12,0.0
2020-11-13,0.61
2020-11-16,0.43
2020-11-17,0.57
2020-11-18,0.57
2020-11-19,0.36
2020-11-20,0.38
2020-11-23,0.89
2020-11-24,0.53
2020-11-25,0.48
2020-11-26,0.78
2020-11-27,0.36
2020-11-30,0.43
2020-12-01,0.33
2020-12-02,0.67
2020-12-03,0.43
2020-12-04,0.64
2020-12-07,0.56
2020-12-08,0.3
2020-12-09,0.43
2020-12-10,0.5
2020-12-11,0.67
2020-12-14,0.28
2020-12-15,0.33
2020-12-16,0.56
2020-12-17,0.22
2020-12-18,0.18
2020-12-21,0.82
2020-12-22,0.55
2020-12-23,0.22
2020-12-24,0.0
2020-12-28,0.33
2020-12-29,0.33
2020-12-30,0.61
2021-01-04,0.68
2021-01-05,0.15
2021-01-06,0.44
2021-01-07,0.56
2021-01-08,0.57
2021-01-11,0.58
2021-01-12,0.32
2021-01-13,0.26
2021-01-14,0.77
2021-01-15,0.14
2021-01-18,0.44
2021-01-19,0.56
2021-01-20,0.22
2021-01-21,0.28
2021-01-22,0.33
2021-01-25,0.56
2021-01-26,0.56
2021-01-27,0.27
2021-01-28,0.22
2021-01-29,0.33
2021-02-01,0.17
2021-02-02,0.34
2021-02-03,0.73
2021-02-04,0.83
2021-02-05,0.32
2021-02-08,
2021-02-09,0.68
2021-02-10,0.4
2021-02-15,0.45
2021-02-16,0.67
2021-02-17,0.91
2021-02-18,0.3
2021-02-19,0.3
2021-02-22,0.11
2021-02-23,0.28
2021-02-24,0.33
2021-02-25,0.61
2021-02-26,0.53
2021-03-02,0.25
2021-03-03,
2021-03-04,0.37
2021-03-05,0.56
2021-03-08,0.35
2021-03-09,0.54
2021-03-10,0.65
2021-03-11,0.69
2021-03-12,0.61
2021-03-15,0.57
2021-03-16,0.56
2021-03-17,0.6
2021-03-18,0.29
2021-03-19,0.44
2021-03-22,0.17
2021-03-23,0.43
2021-03-24,0.43
2021-03-25,0.77
2021-03-26,0.88
2021-03-29,0.49
2021-03-30,0.56
2021-03-31,0.4
2021-04-01,0.89
2021-04-02,0.56
2021-04-05,0.17
2021-04-06,0.76
2021-04-07,0.67
2021-04-08,0.56
2021-04-09,0.31
2021-04-12,0.27
2021-04-13,0.26
2021-04-14,0.53
2021-04-15,1.0
2021-04-16,0.44
2021-04-19,0.3
2021-04-20,0.5
2021-04-21,0.16
2021-04-22,0.33
2021-04-23,0.67
2021-04-26,0.17
2021-04-27,0.67
2021-04-28,0.0
2021-04-29,0.37
2021-04-30,0.44
2021-05-03,0.56
2021-05-04,0.56
2021-05-06,0.79
2021-05-07,0.45
2021-05-10,0.46
2021-05-11,0.25
2021-05-12,0.36
2021-05-13,0.33
2021-05-14,0.58
2021-05-17,0.33
2021-05-18,0.33
2021-05-20,0.45
2021-05-21,0.43
2021-05-24,0.27
2021-05-25,0.33
2021-05-26,0.78
2021-05-27,0.63
2021-05-28,0.78
2021-05-31,0.2
2021-06-01,0.22
2021-06-02,0.0
2021-06-03,0.67
2021-06-04,0.44
2021-06-07,0.45
2021-06-08,0.67
2021-06-09,0.36
2021-06-10,0.67
2021-06-11,0.96
2021-06-14,1.0
2021-06-15,0.88
2021-06-16,0.33
2021-06-17,0.18
2021-06-18,0.76
2021-06-21,0.3
2021-06-22,0.05
2021-06-23,
2021-06-24,0.0
2021-06-25,0.11
2021-06-28,0.43
2021-06-29,0.58
2021-06-30,0.36
2021-07-01,0.29
2021-07-02,0.33
2021-07-05,0.43
2021-07-06,0.14
2021-07-07,0.33
2021-07-08,0.49
2021-07-09,0.78
2021-07-12,0.67
2021-07-13,0.45
2021-07-14,0.22
2021-07-15,0.56
2021-07-16,0.21
2021-07-19,0.47
2021-07-20,0.65
2021-07-21,0.71
2021-07-22,0.47
2021-07-23,0.54
2021-07-26,0.46
2021-07-27,0.56
2021-07-28,0.52
2021-07-29,0.55
2021-07-30,0.67
2021-08-02,0.16
2021-08-03,0.45
2021-08-04,0.64
2021-08-05,0.65
2021-08-06,0.92
2021-08-09,0.12
2021-08-10,0.1
2021-08-11,0.62
2021-08-12,0.33
2021-08-13,0.44
2021-08-17,0.2
2021-08-18,0.71
2021-08-19,0.81
2021-08-20,0.63
2021-08-23,0.22
2021-08-24,0.24
2021-08-25,
2021-08-26,0.36
2021-08-27,0.5
2021-08-30,0.4
2021-08-31,0.33
2021-09-01,0.67
2021-09-02,0.0
2021-09-03,0.33
2021-09-06,0.73
2021-09-07,0.13
2021-09-08,0.04
2021-09-09,0.17
2021-09-10,0.71
2021-09-13,0.33
2021-09-14,0.67
2021-09-15,0.27
2021-09-16,0.38
2021-09-17,
2021-09-23,0.43
2021-09-24,0.36
2021-09-27,0.27
2021-09-28,0.2
2021-09-29,0.14
2021-09-30,0.64
2021-10-01,0.14
2021-10-05,0.68
2021-10-06,0.38
2021-10-07,0.13
2021-10-08,0.07
2021-10-12,0.35
2021-10-13,0.56
2021-10-14,0.59
2021-10-15,0.33
2021-10-18,0.24
2021-10-19,0.34
2021-10-20,0.33
2021-10-21,0.34
2021-10-22,0.73
2021-10-25,0.34
2021-10-26,0.54
2021-10-27,0.64
2021-10-28,0.44
2021-10-29,0.33
2021-11-01,0.33
2021-11-02,0.76
2021-11-03,0.31
2021-11-04,0.56
2021-11-05,0.16
2021-11-08,0.08
2021-11-09,0.54
2021-11-10,0.43
2021-11-11,0.25
2021-11-12,0.42
2021-11-15,0.24
2021-11-16,0.68
2021-11-17,0.42
2021-11-18,0.33
2021-11-19,0.71
2021-11-22,0.36
2021-11-23,0.56
2021-11-24,0.33
2021-11-25,0.43
2021-11-26,0.78
2021-11-29,0.1
2021-11-30,0.15
2021-12-01,0.42
2021-12-02,0.72
2021-12-03,0.81
2021-12-06,0.4
2021-12-07,0.33
2021-12-08,0.22
2021-12-09,0.47
2021-12-10,0.56
2021-12-13,0.0
2021-12-14,0.88
2021-12-15,0.37
2021-12-16,0.19
2021-12-17,0.43
2021-12-20,0.36
2021-12-21,0.56
2021-12-22,0.13
2021-12-23,0.73
2021-12-24,0.7
2021-12-27,0.11
2021-12-28,0.67
2021-12-29,0.44
2021-12-30,0.29
2022-01-03,0.23
2022-01-04,0.42
2022-01-05,0.59
2022-01-06,0.24
2022-01-07,0.38
2022-01-10,0.16
2022-01-11,0.31
2022-01-12,0.73
2022-01-13,0.23
2022-01-14,0.37
2022-01-17,0.67
2022-01-18,0.29
2022-01-19,0.17
2022-01-20,0.0
2022-01-21,0.11
2022-01-24,0.3
2022-01-25,0.33
2022-01-26,0.33
2022-01-27,0.63
2022-01-28,0.33
2022-02-03,0.63
2022-02-04,0.36
2022-02-07,0.11
2022-02-08,0.33
2022-02-09,0.67
2022-02-10,0.46
2022-02-11,0.63
2022-02-14,0.0
2022-02-15,0.15
2022-02-16,0.43
2022-02-17,0.33
2022-02-18,0.45
2022-02-21,0.43
2022-02-22,0.68
2022-02-23,0.38
2022-02-24,0.38
2022-02-25,0.14
2022-02-28,0.33
2022-03-02,0.56
2022-03-03,0.23
2022-03-04,0.7
2022-03-07,0.22
2022-03-08,0.38
2022-03-10,0.33
2022-03-11,0.47
2022-03-14,0.55
2022-03-15,0.4
2022-03-16,0.14
2022-03-17,0.67
2022-03-18,0.63
2022-03-21,0.29
2022-03-22,0.57
2022-03-23,0.43
2022-03-24,0.77
2022-03-25,0.44
2022-03-28,0.22
2022-03-29,0.22
2022-03-30,0.0
2022-03-31,0.55
2022-04-01,0.7
2022-04-04,0.15
2022-04-05,0.29
2022-04-06,0.2
2022-04-07,0.55
2022-04-08,0.24
2022-04-11,0.22
2022-04-12,0.35
2022-04-13,0.23
2022-04-14,0.63
2022-04-15,0.33
2022-04-18,0.36
2022-04-19,0.38
2022-04-20,0.67
2022-04-21,0.63
2022-04-22,0.45
2022-04-25,0.29
2022-04-26,0.25
2022-04-27,0.43
2022-04-28,0.21
2022-04-29,0.11
2022-05-02,0.0
2022-05-03,0.71
2022-05-04,0.43
2022-05-06,0.11
2022-05-09,0.17
2022-05-10,0.08
2022-05-11,0.43
2022-05-12,0.44
2022-05-13,0.36
2022-05-16,0.36
2022-05-17,0.33
2022-05-18,0.43
2022-05-19,0.36
2022-05-20,0.37
2022-05-23,0.15
2022-05-24,0.07
2022-05-25,0.73
2022-05-26,0.78
2022-05-27,0.5
2022-05-30,0.35
2022-05-31,0.39
2022-06-02,0.44
2022-06-03,0.33
2022-06-07,0.62
2022-06-08,0.25
2022-06-09,0.42
2022-06-10,0.73
2022-06-13,0.56
2022-06-14,0.0
2022-06-15,0.36
2022-06-16,0.59
2022-06-17,0.35
2022-06-20,0.25
2022-06-21,0.59
2022-06-22,0.29
2022-06-23,0.43
2022-06-24,0.3
2022-06-27,0.22
2022-06-28,0.73
2022-06-29,0.15
2022-06-30,0.22
2022-07-01,1.0
2022-07-04,0.3
2022-07-05,0.14
2022-07-06,0.12
2022-07-07,0.29
2022-07-08,0.71
2022-07-11,0.57
2022-07-12,0.67
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.43
2022-07-18,0.67
2022-07-19,0.56
2022-07-20,0.55
2022-07-21,0.33
2022-07-22,0.67
2022-07-25,0.29
2022-07-26,0.67
2022-07-27,0.52
2022-07-28,0.45
2022-07-29,0.35
2022-08-01,0.12
2022-08-02,0.17
2022-08-03,0.75
2022-08-04,0.58
2022-08-05,0.57
2022-08-08,0.21
2022-08-09,0.54
2022-08-10,0.45
2022-08-11,0.33
2022-08-12,0.67
2022-08-16,0.38
2022-08-17,0.08
2022-08-18,0.33
2022-08-19,0.43
2022-08-22,0.43
2022-08-23,0.43
2022-08-24,0.57
2022-08-25,0.29
2022-08-26,0.33
2022-08-29,0.0
2022-08-30,0.5
2022-08-31,0.5
2022-09-01,0.05
2022-09-02,0.55
2022-09-05,0.14
2022-09-06,0.4
2022-09-07,0.14
2022-09-08,0.56
2022-09-13,0.57
2022-09-14,1.0
2022-09-15,0.33
2022-09-16,0.33
2022-09-19,0.22
2022-09-20,0.45
2022-09-21,0.56
2022-09-22,0.17
2022-09-23,0.57
2022-09-26,0.25
2022-09-27,0.33
2022-09-28,0.15
2022-09-29,0.43
2022-09-30,0.11
2022-10-04,0.22
2022-10-05,0.56
2022-10-06,0.36
2022-10-07,0.23
2022-10-11,0.05
2022-10-12,0.29
2022-10-13,0.21
2022-10-14,0.57
2022-10-17,0.33
2022-10-18,0.43
2022-10-19,0.23
2022-10-20,0.45
2022-10-21,0.62
2022-10-24,0.13
2022-10-25,0.21
2022-10-26,0.33
2022-10-27,0.33
2022-10-28,0.17
2022-10-31,0.78
2022-11-01,0.27
2022-11-02,1.0
2022-11-03,0.53
2022-11-04,0.06
2022-11-07,0.43
2022-11-08,0.18
2022-11-09,0.36
2022-11-10,0.44
2022-11-11,0.78
2022-11-14,0.36
2022-11-15,0.45
2022-11-16,1.0
2022-11-17,0.14
2022-11-18,0.4
2022-11-21,0.29
2022-11-22,0.57
2022-11-23,0.11
2022-11-24,0.36
2022-11-25,0.17
2022-11-28,0.71
2022-11-29,0.72
2022-11-30,0.42
2022-12-01,0.29
2022-12-02,0.0
2022-12-05,0.45
2022-12-06,0.47
2022-12-07,0.31
2022-12-08,0.38
2022-12-09,0.29
2022-12-12,0.71
2022-12-13,0.56
2022-12-14,0.22
2022-12-15,0.43
2022-12-16,0.45
2022-12-19,0.4
2022-12-20,0.33
2022-12-21,0.0
2022-12-22,0.34
2022-12-23,0.41
2022-12-26,0.57
2022-12-27,0.15
2022-12-28,0.27
2022-12-29,0.68
2023-01-02,0.54
2023-01-03,0.36
