Model Name,Rise Accuracy,Fall Accuracy
LinearRegression,64.28571428571429,47.22222222222222
LGBMRegressor,63.1578947368421,48.38709677419355
RandomForestRegressor,65.21739130434783,51.85185185185185
KNeighborsRegressor,55.00000000000001,43.333333333333336
DecisionTreeRegressor,58.620689655172406,47.368421052631575
GradientBoostingRegressor,64.70588235294117,48.484848484848484
XGBRegressor,68.75,50.0
