0,1
['2023-05-12'],"[[""삼성전자 반도체공장 통째로 베껴 중국에 '복제공장' 세우려했다"", '국가핵심기술 중국 빼돌려 사용한 삼성전자 전 임원 구속기소', '삼성전자, ‘세계 최초’ 듀얼 QHD OLED 게이밍모니터 출시', '삼성전자, 49인치 OLED 듀얼 QHD 게이밍 모니터 선봬', '""실외기 1대로 에어컨 3대""…삼성전자 \'비스포크 핏홈\' 출시', '6월 엔지니어상에 삼성전자 김형옥·라이드플럭스 박중희', '삼성전자, 소비전력 72% 줄인 ‘비스포크 무풍에어컨 핏홈’ 출시', ""시몬스, 삼성전자 '비스포크 웨딩클럽' 혜택 강화"", ""삼성전자, '비스포크 무풍에어컨 핏홈' 출시"", ""삼성전자, '실외기 1대로 에어컨을 3대까지'""]]"
['2023-06-12'],"[[""삼성전자 반도체공장 통째로 베껴 중국에 '복제공장' 세우려했다"", '국가핵심기술 중국 빼돌려 사용한 삼성전자 전 임원 구속기소', '삼성전자, ‘세계 최초’ 듀얼 QHD OLED 게이밍모니터 출시', '삼성전자, 49인치 OLED 듀얼 QHD 게이밍 모니터 선봬', '삼성전자 반도체 핵심 기술 유출 前 상무 기소', '[그래픽] 삼성전자 반도체 기술 해외 유출 개요', '""실외기 1대로 에어컨 3대""…삼성전자 \'비스포크 핏홈\' 출시', '6월 엔지니어상에 삼성전자 김형옥·라이드플럭스 박중희', '삼성전자, 소비전력 72% 줄인 ‘비스포크 무풍에어컨 핏홈’ 출시', ""시몬스, 삼성전자 '비스포크 웨딩클럽' 혜택 강화""]]"
