Model Name,real_rise,rise_pred_count,real_fall,fall_pred_count,Rise_pred Accuracy,Fall_pred Accuracy
LinearRegression,14,3,16,27,66.66666666666666,55.55555555555556
LGBMRegressor,14,13,16,17,53.84615384615385,58.82352941176471
RandomForestRegressor,14,13,16,17,53.84615384615385,58.82352941176471
KNeighborsRegressor,14,13,16,17,46.15384615384615,52.94117647058824
DecisionTreeRegressor,14,19,16,11,47.368421052631575,54.54545454545454
GradientBoostingRegressor,14,10,16,20,50.0,55.00000000000001
XGBRegressor,14,13,16,17,53.84615384615385,58.82352941176471
