Date,Open,High,Low,Close,Volume,Change
2020-01-02,0.27044025157232704,0.23380281690140844,0.2690677966101695,0.2618556701030928,0.08546810305746125,0.3151213974792273
2020-01-03,0.2809224318658281,0.24507042253521127,0.2669491525423729,0.26804123711340205,0.11420096991569795,0.41114244049273846
2020-01-06,0.2578616352201258,0.22629107981220659,0.2605932203389831,0.26804123711340205,0.053361024932197874,0.3789043285784555
2020-01-07,0.2746331236897275,0.24131455399061033,0.2817796610169492,0.27422680412371137,0.05017698787915888,0.4109681804283372
2020-01-08,0.2851153039832285,0.26009389671361505,0.288135593220339,0.2948453608247423,0.20976615621740566,0.48520921374383597
2020-01-09,0.3312368972746331,0.28262910798122065,0.3199152542372881,0.3319587628865979,0.2168801882934091,0.5668843050927304
2020-01-10,0.33962264150943394,0.3032863849765258,0.3389830508474576,0.35051546391752575,0.12103710419925176,0.4700072523498781
2020-01-13,0.35639412997903563,0.3089201877934272,0.3559322033898305,0.36082474226804123,0.06613852719374745,0.4287514932190282
2020-01-14,0.3731656184486373,0.3276995305164319,0.3728813559322034,0.36082474226804123,0.1317556219357445,0.3789043285784555
2020-01-15,0.35429769392033544,0.30140845070422534,0.3516949152542373,0.3402061855670103,0.10093683600712222,0.28004078537465144
2020-01-16,0.34591194968553457,0.3220657276995305,0.3538135593220339,0.3752577319587629,0.10189316022831078,0.5498209625918119
2020-01-17,0.40461215932914046,0.3464788732394366,0.3961864406779661,0.38762886597938145,0.12133863625677245,0.437538390445621
2020-01-20,0.40670859538784065,0.3615023474178404,0.4110169491525424,0.41030927835051545,0.07997505272020278,0.48534794768858713
2020-01-21,0.40670859538784065,0.3539906103286385,0.4004237288135593,0.38969072164948454,0.06357819579356215,0.28384322934402895
2020-01-22,0.3752620545073375,0.35774647887323946,0.3834745762711864,0.40824742268041236,0.11322283308950887,0.46585272162414587
2020-01-23,0.4025157232704403,0.3427230046948357,0.3898305084745763,0.37731958762886597,0.10821906408665187,0.23608380067568888
