,Open,High,Low,Close,Volume,Change
LinearRegression,71706.03844819241,72127.27640768078,71068.14197286892,71508.82765504486,14985994.962060824,-0.0038782073309218575
LGBMRegressor,71701.4456538996,71656.80001420475,70925.06809223352,71322.23836055008,15494136.780172503,-0.0029559316714536607
RandomForestRegressor,71814.0,72118.0,71007.0,71443.0,14546508.33,-0.007305066353106936
KNeighborsRegressor,62660.0,63320.0,62220.0,62920.0,15159763.2,0.0007289421282848596
DecisionTreeRegressor,72100.0,72300.0,71300.0,70900.0,18278602.0,-0.0193861066235864
GradientBoostingRegressor,71673.41045579601,71866.90026979704,71081.0298222272,71353.72589939795,16362847.556489622,-0.0009273407664211631
XGBRegressor,71721.3828125,71787.96875,70603.0,71330.734375,16338680.0,-0.008060861378908157
