,Open,High,Low,Close,Volume,Change
LinearRegression,70508.00597061691,71010.61147832319,69888.66687770077,70417.96158595411,12760208.644828007,-0.0011316860215655894
LGBMRegressor,70498.64631410496,71284.72529077507,70442.86668100758,70822.45206912013,11546675.169950504,0.002004013485394052
RandomForestRegressor,70753.0,71259.0,70367.0,70740.0,12351142.49,-0.0005904143139264732
KNeighborsRegressor,65320.0,65540.0,64820.0,65240.0,12512371.0,0.00207856040206622
DecisionTreeRegressor,71300.0,70300.0,70900.0,72300.0,11614118.0,-0.0032206119162641
GradientBoostingRegressor,70405.32088627863,70929.27716912306,70205.76636083199,70338.57916611613,11886102.941387393,-0.0005110416434828212
XGBRegressor,70195.3359375,70913.8515625,69194.875,70589.765625,12329612.0,0.0047004069201648235
