Date,Open,High,Low,Close,Volume,Change,news,Open_USD/KRW,High_USD/KRW,Low_USD/KRW,Close_USD/KRW,Adj Close_USD/KRW,Volume_USD/KRW,Open_ks11,High_ks11,Low_ks11,Close_ks11,Adj Close_ks11,Volume_ks11
2020-01-02,55500.0,56000.0,55000.0,55200.0,12993228.0,-0.010752688172043001,0.67,1153.959961,1160.189941,1145.199951,1153.969971,1153.969971,0.0,2201.209961,2202.320068,2171.840088,2175.169922,2175.169922,494700.0
2020-01-03,56000.0,56600.0,54900.0,55500.0,15422255.0,0.005434782608695565,0.6,1157.550049,1168.069946,1155.310059,1157.150024,1157.150024,0.0,2192.580078,2203.379883,2165.389893,2176.459961,2176.459961,631600.0
2020-01-06,54900.0,55600.0,54600.0,55500.0,10278951.0,0.0,0.63,1167.400024,1172.48999,1165.640015,1165.849976,1165.849976,0.0,2154.969971,2164.419922,2149.949951,2155.070068,2155.070068,592700.0
2020-01-07,55700.0,56400.0,55600.0,55800.0,10009778.0,0.00540540540540535,0.56,1166.52002,1168.01001,1161.949951,1167.420044,1167.420044,0.0,2166.600098,2181.620117,2164.27002,2175.540039,2175.540039,568200.0
2020-01-08,56200.0,57400.0,55900.0,56800.0,23501171.0,0.017921146953405076,0.48,1166.530029,1178.839966,1162.400024,1166.459961,1166.459961,0.0,2156.27002,2162.320068,2137.719971,2151.310059,2151.310059,913800.0
2020-01-09,58400.0,58600.0,57400.0,58600.0,24102579.0,0.03169014084507049,0.76,1161.339966,1162.589966,1156.51001,1161.26001,1161.26001,0.0,2182.199951,2186.449951,2172.159912,2186.449951,2186.449951,592600.0
2020-01-10,58800.0,59700.0,58300.0,59500.0,16000170.0,0.015358361774743923,0.53,1158.579956,1163.640015,1156.199951,1157.810059,1157.810059,0.0,2189.47998,2206.919922,2188.100098,2206.389893,2206.389893,594500.0
2020-01-13,59600.0,60000.0,59100.0,60000.0,11359139.0,0.008403361344537785,0.63,1156.930054,1157.790039,1152.380005,1156.930054,1156.930054,0.0,2204.48999,2230.429932,2204.48999,2229.26001,2229.26001,488300.0
2020-01-14,60400.0,61000.0,59900.0,60000.0,16906295.0,0.0,0.78,1153.25,1159.140015,1149.869995,1153.939941,1153.939941,0.0,2243.060059,2250.790039,2232.939941,2238.879883,2238.879883,835900.0
2020-01-15,59500.0,59600.0,58900.0,59000.0,14300928.0,-0.01666666666666672,0.56,1156.130005,1162.189941,1154.27002,1157.050049,1157.050049,0.0,2229.800049,2238.209961,2223.389893,2230.97998,2230.97998,746200.0
2020-01-16,59100.0,60700.0,59000.0,60700.0,14381774.0,0.028813559322034,0.47,1159.73999,1161.040039,1155.849976,1156.780029,1156.780029,0.0,2231.929932,2249.090088,2225.409912,2248.050049,2248.050049,808300.0
2020-01-17,61900.0,62000.0,61000.0,61300.0,16025661.0,0.009884678747940745,0.33,1159.670044,1161.109985,1154.550049,1158.77002,1158.77002,0.0,2261.570068,2268.709961,2245.580078,2250.570068,2250.570068,580800.0
