Model Name,real_rise,rise_pred_count,real_fall,fall_pred_count,Rise_pred Accuracy,Fall_pred Accuracy
LinearRegression,14,4,16,26,50.0,53.84615384615385
LGBMRegressor,14,12,16,18,50.0,55.55555555555556
RandomForestRegressor,14,11,16,19,45.45454545454545,52.63157894736842
KNeighborsRegressor,14,12,16,18,50.0,55.55555555555556
DecisionTreeRegressor,14,16,16,14,37.5,42.857142857142854
GradientBoostingRegressor,14,8,16,22,50.0,54.54545454545454
XGBRegressor,14,11,16,19,54.54545454545454,57.89473684210527
